번호,카테고리,질문,답변
137,쿠팡플레이,성인 인증은 어떻게 하나요?,"쿠팡플레이에서 청소년 관람 불가 콘텐츠 시청 시 최초 1회 성인 인증이 필요합니다. 쿠팡플레이는 연령 별 시청 권한 제어 강화를 위해 프로필 단위의 성인 인증을 도입하였으며, 계정 내 프로필 별 최초 1회 성인 인증 절차를 진행하셔야 하는 점 이용에 참고 부탁드립니다. 성인 인증 방법은 아래 내용을 확인해 주세요.
 ■ 모바일/태블릿 앱
① 쿠팡플레이 앱 접속
② 시청을 원하시는 청소년 관람 불가 콘텐츠 재생
③ 성인 인증 팝업 내 [성인 인증하기] 클릭
④ 이용하시는 통신사 및 약관 동의 후 [PASS로 인증하기] 또는 [문자(SMS)로 인증하기] 를 통해 성인 인증 진행
 ■ PC 웹
① 쿠팡플레이 PC버전 (www.coupangplay.com) 접속
② 시청을 원하시는 청소년 관람 불가 콘텐츠 재생
③ [성인 인증하기] 클릭
④ 이용하시는 통신사 및 약관 동의 후 [PASS로 인증하기] 또는 [문자(SMS)로 인증하기] 를 통해 성인 인증 진행
 • 성인 인증은 모바일과 태블릿 앱 및 PC에서만 가능하므로 스마트 TV에서 시청하기 전 모바일/태블릿 앱과 PC에서 먼저 인증을 진행해 주세요.
• 한국 모바일 인증(KMC)을 통해 이루어지는 성인 인증은 1년 동안 유지되며 만 19세 이상부터 인증이 가능합니다. 만 19세가 되는 해의 생일 이후부터 인증이 가능한 점 참고하시어 이용에 차질 없으시길 바랍니다."
138,쿠팡플레이,어떤 기기에서 사용할 수 있나요?,"쿠팡플레이는 아래의 기기에서 시청이 가능합니다.
 ■ 모바일/태블릿 기기: Android 와 iOS 기반의 모든 모바일 기기 (권장 버전 : Android OS 6 버전 이상, iOS 15 버전 이상)
■ PC : www.coupangplay.com (지원 브라우저: Edge, Chrome, Safari, Whale)
■ 스마트 TV
• 삼성 스마트TV: Tizen 3.0 (제조년월 2017년도 이후 모델) 버전 이상
• LG 스마트TV: 웹 OS 3.5 (제조년월 2017년도 이후 모델) 버전 이상
• 안드로이드 TV: Android 6.0 버전 이상  
• 애플TV : iOS 15 버전 이상
 계정 당 최대 5대의 기기를 등록할 수 있으며, 최대 2대의 기기에서 동시 시청이 가능합니다. 와우 회원이 아닌 쿠팡 일반 회원의 경우에는 1대의 기기에서만 시청 가능합니다. (유료 콘텐츠 포함)"
139,쿠팡플레이,해외에서 이용할 수 있나요?,"아니요, 쿠팡플레이는 현재 국내에서만 서비스되고 있어 해외에서의 사용은 제한적인 점 이용에 참고 부탁드립니다."
140,쿠팡플레이,쿠팡플레이 앱/웹 업데이트는 어떻게 하나요?,"쿠팡플레이는 안정적인 사용과 기능 개선을 위하여 지속적으로 업데이트를 진행하고 있습니다. 최상의 시청 경험을 위해 항상 쿠팡플레이 앱과 웹을 최신 버전으로 업데이트 후 시청을 권장 드립니다. 업데이트 방법은 아래 내용을 참고해 주세요.
 ■ 안드로이드 앱: 구글 플레이 스토어에서 '쿠팡플레이' 검색 후 업데이트 진행
■ IOS 앱: 애플 앱스토어에서 '쿠팡플레이' 검색 후 업데이트 진행
■ PC 웹: 쿠팡플레이 PC 버전을 새로고침하거나 재접속
■ 안드로이드 TV 앱: 구글 플레이 스토어에서 '쿠팡플레이' 검색 후 업데이트 진행
■ 애플 TV 앱: 애플 앱스토어에서 '쿠팡플레이' 검색 후 업데이트 진행
■ 삼성 스마트 TV 앱: 삼성 Apps에서 '쿠팡플레이' 검색 후 업데이트 진행
■ LG 스마트 TV 앱: LG 콘텐츠 Store에서 '쿠팡플레이' 검색 후 업데이트 진행"
141,쿠팡체험단,쿠팡 비즈 계정으로 체험단 초대를 받았는데 로켓직구 상품을 구매할 수 없어요.,"쿠팡 비즈(사업자 계정) 회원은 로켓직구, 해외배송상품, 쿠팡플레이를 이용할 수 없습니다.
 따라서, 쿠팡 체험단에서 로켓직구 상품을 선택하신 경우 체험이 불가능하니 쿠팡 고객센터(1577-7011)로 연락해 주세요."
142,이용약관,쿠팡 이용자 약관은 어디에서 확인할 수 있나요?,"PC 홈페이지 하단에 있는 [이용약관] 메뉴를 선택하면 이용 약관 및 정책 내용을 확인할 수 있습니다.
 이용 약관 바로 가기 (PC에서만 확인 가능)
• 쿠팡 이용 약관 
• 쿠팡페이 이용 약관"
143,인증,모바일 앱 실행 시 왜 자동 로그인 안내가 뜨나요?,"로그아웃 상태여도 기존에 간편 로그인 계정을 등록했다면, 계정 정보를 입력하지 않아도 쿠팡 모바일 앱 실행 시 자동으로 로그인됩니다. 자동 로그인을 원하지 않으시면 아래의 방법으로 자동 로그인 계정을 삭제해 주세요. 이후에는 자동으로 로그인되지 않습니다.
 자동 로그인 삭제(해제) 방법
① 모바일 앱 하단의 사람 모양 아이콘 [마이쿠팡] 선택
② 화면을 끝까지 내려 [로그아웃] 선택
③ 로그인 유지 여부 물음에 [로그아웃] 선택
④ 등록된 계정 오른쪽의 [ ⋮ ] 더보기 아이콘 선택
⑤ [계정 삭제] 선택
⑥ 자동 로그인 계정 삭제 물음에 [삭제] 선택"
144,나중결제,나중결제 이용가능금액(한도)이 갑자기 많이 줄었어요.,이용 가능금액(한도)은 쿠팡 정책 및 사용 이력 등에 따라 달라질 수 있습니다. 그리고 이용 가능금액은 고객 요청에 의해 별도 조정(상향/하향)이 어려운 점 양해 부탁드립니다.
145,쿠팡안심케어,무상보증 상품(보증기간 연장)은 담보 범위가 무엇인가요?,쿠팡안심케어 무상보증 상품은 고장으로 인해 발생한 손해에 대해 제조사 무상보증기간 이후 유상 수리를 받아 발생한 수리비용을 보상한도액 내에서 담보하는 상품입니다. 제품이 침수되거나 외부 충격으로 인해 파손되어 수리를 받은 경우는 보상하지 않습니다.
146,쿠팡안심케어,제품이 고장이 났을 때 수리비 선지급이 가능한가요?,"아니요, 보험금 선지급은 불가합니다. 쿠팡안심케어는 제품 수리 후 수리명세서와 영수증을 제출하여 청구할 수 있는 보험 상품입니다."
147,쿠팡안심케어,보험기간 종료 후 보험금 청구 접수가 가능한가요?,"아래의 두 가지 조건에 모두 해당하면 보험기간 종료 후에도 보험금 청구 접수가 가능합니다.
 • 수리명세서 상 수리 일자가 보험기간 안에 포함되어 있어야 함
• 수리명세서 상 수리 일자가 청구 접수일로부터 3년 이내여야 함
 ※ 보험 청구권은 수리 일자로부터 3년간 행사하지 않으면 소멸됩니다.
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
148,쿠팡안심케어,보험금 청구 시 롯데손해보험 회원가입이 필요한가요?,"아니요, 롯데손해보험 홈페이지 회원가입은 필요 없습니다. 쿠팡 안심케어 구매 주문번호 또는 시리얼번호로도 보험금 청구가 가능합니다.
 ※ 구매 주문번호 확인 방법
카카오톡 → 롯데손해보험 알림톡 → COUP로 시작하는 9~11자리 번호 확인
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
149,쿠팡안심케어,보험금 청구 시 어떤 서류가 필요한가요?,"쿠팡안심케어 모바일 보험금 청구 시 
① 공식 A/S센터에서 발행한 수리명세서
② 영수증
③ 제품 시리얼번호를 찍은 사진
 롯데손해보험 고객센터 또는 지점 방문 통한 청구 시
① 보험금 청구서
② 공식 A/S센터에서 발행한 수리명세서
③ 영수증
④ 제품 시리얼번호를 찍은 사진
 ※ 단, 사고 내용에 따라 상기 서류 외에 추가 서류를 요청할 수 있습니다.
 롯데손해보험 쿠팡안심케어 전용 콜센터 
전화번호 : 02-6320-4932"
150,쿠팡안심케어,쿠팡안심케어 구매 주문번호를 어떻게 확인하나요?,"쿠팡안심케어 구매 주문번호는 아래의 방법으로 확인할 수 있습니다.
 ※ 구매 주문번호 확인 방법
카카오톡 → 롯데손해보험 알림톡 → COUP로 시작하는 9~11자리 번호 확인
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
151,쿠팡안심케어,쿠팡안심케어 보험금은 어떻게 청구하나요?,"제품 수리 후 롯데손해보험 모바일 앱 및 홈페이지에서 보험사고를 접수할 수 있습니다. [보험금 신청 → 보험금 청구 → 쿠팡안심케어] 접수 화면에서 시리얼번호 또는 구매 주문번호로 계약 확인 후 보험사고 접수를 진행합니다.
 ※ 롯데손해보험 홈페이지 : www.lotteins.co.kr
 ※ 롯데손해보험 모바일 앱 : 
(안드로이드) GooglePlaystore → '롯데손해보험' 검색 → 롯데손해보험(공식) 
(아이폰) Appstore → '롯데손해보험' 검색 → 롯데손해보험 홈페이지(공식)
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
152,쿠팡안심케어,쿠팡안심케어 알림톡은 몇 번 발송되나요?,"쿠팡안심케어 알림톡은 상품 배송이 완료된 후 1회 발송됩니다. 단, 시리얼번호와 사진이 등록되지 않은 경우 배송 완료일부터 2주 뒤와 4주 뒤에 추가로 발송됩니다."
153,쿠팡안심케어,알림톡에서 가입증명서가 확인되지 않으면 어떻게 확인하나요?,"알림톡에 포함된 가입증명서는 발송일부터 15일간 유지됩니다. 이후 가입증명서가 확인되지 않아 알림톡 재발송이 필요한 경우 롯데손해보험 쿠팡안심케어 전용 콜센터로 연락하여 쿠팡 주문번호 또는 구매 주문번호 또는 인수자 연락처를 알려주세요. 해당 정보로 계약 내역 조회 후 알림톡을 다시 발송해 드립니다.
 ※ 쿠팡 주문번호 확인 방법 
① 쿠팡 모바일 앱 → 마이쿠팡 → [주문목록]에서 구매한 상품 확인
② [주문 상세보기] 선택 
③ 우측 상단에서 주문번호 확인
 ※ 구매 주문번호 확인 방법
카카오톡 → 롯데손해보험 알림톡 → COUP로 시작하는 9~11자리 번호 확인
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
154,쿠팡안심케어,쿠팡안심케어 가입 완료 알림톡은 언제 발송되나요?,"구매 상품의 배송이 완료되면 롯데손해보험에서 알림톡을 발송해 드립니다. 상품의 시리얼번호(일련번호, 제조번호 등)를 입력하고 시리얼번호를 찍은 사진을 업로드하면 가입이 완료되고, 구매 시 입력한 이메일 주소로 가입증명서가 발송됩니다."
155,쿠팡안심케어,쿠팡안심케어 가입 내역은 어디서 확인할 수 있나요?,"쿠팡안심케어 가입 내역은 쿠팡과 롯데손해보험 두 곳 모두에서 확인할 수 있습니다.
 쿠팡
쿠팡 모바일 앱에서 [마이쿠팡 → 주문목록]으로 이동하여 쿠팡안심케어와 함께 구매한 상품을 검색하면 가입 내역을 확인할 수 있습니다. [주문목록]에서 상품 검색 시 돋보기가 표시된 검색창을 활용하면 검색이 더욱 용이합니다. (예시) 쿠팡안심케어와 TV를 구매한 경우 검색창에 'TV' 입력 후 검색
 롯데손해보험
롯데손해보험에서 발송한 카카오 알림톡에서 가입증명서 및 보험약관 확인이 가능합니다. 알림톡 재발송이 필요한 경우 롯데손해보험 쿠팡안심케어 전용 콜센터로 연락하여 쿠팡 주문번호 또는 구매 주문번호 또는 인수자 연락처를 알려주세요. 해당 정보로 계약 내역 조회 후 알림톡을 다시 발송해 드립니다.
 ※ 쿠팡 주문번호 확인 방법 
① 쿠팡 모바일 앱 → 마이쿠팡 → [주문목록]에서 구매한 상품 확인
② [주문 상세보기] 선택 
③ 우측 상단에서 주문번호 확인
 ※ 구매 주문번호 확인 방법
카카오톡 → 롯데손해보험 알림톡 → COUP로 시작하는 9~11자리 번호 확인
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
156,쿠팡안심케어,쿠팡안심케어 가입을 취소할 수 있나요?,"구매(가입) 후 30일 이내
쿠팡 고객센터(1577-7011)로 연락해 주시면 취소가 가능합니다. 구매한 제품을 취소하는 경우에도 보험은 함께 취소 처리됩니다.
 구매(가입) 후 30일 경과
롯데손해보험 쿠팡안심케어 전용 콜센터로 연락해 주시면 해지가 가능합니다. 해지 진행 시 경과 보험료를 제하고 해지 환급금이 지급됩니다.
 롯데손해보험 쿠팡안심케어 전용 콜센터 
전화번호 : 02-6320-4932"
157,쿠팡안심케어,쿠팡안심케어 가입 후 중간에 상품을 변경하거나 한도를 증액할 수 있나요?,"아니요, 쿠팡안심케어 가입 완료 후에는 담보 상품 변경 및 한도 증액이 불가합니다."
158,쿠팡안심케어,가입 후 중간에 보험 기간을 연장할 수 있나요?,"아니요, 쿠팡안심케어는 연장이 불가한 상품으로 보험 기간 종료 시에 소멸됩니다."
159,쿠팡안심케어,"구매한 제품을 양도했는데, 쿠팡안심케어도 함께 양도할 수 있나요?","네, 쿠팡안심케어는 구매한 제품을 대상으로 하는 제품담보보험으로 양도가 가능합니다.
 제품 양도 후 양수자가 직접 롯데손해보험 쿠팡안심케어 전용 콜센터로 연락해 주시면, 보험사에서 쿠팡안심케어 가입자 정보를 수정해 드립니다.
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
160,쿠팡안심케어,제품 구매 후 쿠팡안심케어를 별도로 가입할 수 있나요?,"아니요, 쿠팡안심케어는 쿠팡에서 상품을 구매하는 시점에만 가입할 수 있는 보험상품으로 구매 이후 별도 가입은 불가합니다.
 쿠팡안심케어를 구매하지 못한 경우 아직 상품을 배송받기 전이라면 구매 취소 후 재구매를 하면서 쿠팡안심케어를 함께 구매할 수 있습니다. 이미 배송이 완료되고 상품을 개봉 또는 설치한 경우에는 단순 변심으로 인한 취소 및 재구매가 불가할 수 있습니다."
161,쿠팡안심케어,세트형 가전제품의 시리얼번호는 어떻게 입력하나요?,"세트형 가전제품의 시리얼번호는 메인 상품을 기준으로 등록해도 추후 세트 상품을 보상받는데 문제가 없습니다.
 세트형 가전제품 예시 
• 세탁기+건조기 워시 타워
• 에어컨 투인원 상품 (스탠드 에어컨+벽걸이 에어컨)
• 청소기+청소기 스테이션
• 노트북+키보드 등 세트 상품"
162,쿠팡안심케어,가전제품이 이미 설치되어 시리얼번호 확인이 어려우면 어떻게 해결하나요?,"시리얼번호 확인이 어려운 설치가전은 최초 수리 시 수리명세서를 통해 시리얼번호 확인이 가능하니 수리 진행 후 보험금 청구 접수 전까지 롯데손해보험 쿠팡안심케어 전용 콜센터를 통해 시리얼번호 등록을 요청해 주시면 됩니다.
 롯데손해보험 쿠팡안심케어 전용 콜센터
전화번호 : 02-6320-4932"
